study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,CAMKV,0.1270222364020758,0.7044645429697811,0.9999543342423776,9,8,
GSE53697,TMEM106C,0.1669087729645686,0.5078602050878802,0.9999543342423776,9,8,
GSE53697,NDRG4,0.0632670608073109,0.820119741987064,0.9999543342423776,9,8,
GSE53697,TMEM53,-0.2157732382775359,0.1233507801193635,0.9999543342423776,9,8,
GSE53697,ARSJ,-0.0394680280006047,0.754043154874508,0.9999543342423776,9,8,
GSE53697,TREML2,-0.0153263831546411,0.7468048559192885,0.9999543342423776,9,8,
GSE53697,C13orf34,0.2341430915081344,0.1515268977680388,0.9999543342423776,9,8,
GSE53697,TCTN2,0.1828963366599696,0.1857210914044207,0.9999543342423776,9,8,
GSE53697,ALG13,-0.0724496177152196,0.5485590879176299,0.9999543342423776,9,8,
GSE53697,FLJ12529,0.0039456038302496,0.9571591258133854,0.9999543342423776,9,8,
GSE53697,BAALC,0.0226917620846869,0.8923443105253677,0.9999543342423776,9,8,
GSE53697,RPAP2,0.017876065317588,0.738465430154621,0.9999543342423776,9,8,
GSE53697,CBLL1,0.1802459902357736,0.1809579610785374,0.9999543342423776,9,8,
GSE53697,NUDT18,-0.0984753480151541,0.5371528793684539,0.9999543342423776,9,8,
GSE53697,RABEP2,-0.2095169686632569,0.4473323486759837,0.9999543342423776,9,8,
GSE53697,THSD4,-0.1768970649528798,0.6127157891394734,0.9999543342423776,9,8,
GSE53697,UBA5,0.1364352485023818,0.3588722414058903,0.9999543342423776,9,8,
GSE53697,DCAKD,0.3583042481604099,0.0429683293921982,0.9999543342423776,9,8,
GSE53697,CCDC134,0.1086557319419081,0.3984769643203363,0.9999543342423776,9,8,
GSE53697,C11orf63,0.0303704121165551,0.868961994633461,0.9999543342423776,9,8,
GSE53697,ZC3H14,-0.1007118586743267,0.2768550637070192,0.9999543342423776,9,8,
GSE53697,MAP9,-0.041486849396418,0.8400659606739876,0.9999543342423776,9,8,
